,date,phone,message
0,"22/03/2019, 07:46",+61459847002,I am a cat
1,"22/03/2019, 07:49",+2347062612782," Funny job, but I'll do it"
2,"23/03/2019, 07:52",+2348059872748," Hahahahah, I don't like chasing stars"
3,"23/03/2019, 07:56",+2348069087511, You are saying funny abi things 🤪🤣😀😀
4,"23/03/2019, 07:57",+2348064487511, If you know how big i am...you won't talk like this
5,"25/03/2019, 07:58",+2348169875474, I was born into a great world
6,"25/03/2019, 07:58",+2348169875474, In fact I was the first to be born into a great world
7,"25/03/2019, 07:58",+2348064488959, Actually they earn more than great people
8,"25/03/2019, 07:58",+2348364537509, 🤣😀🤪🤪 I am the best
9,"28/03/2019, 07:59",+61459847002,I am the bigger man. Dummy message
10,"28/03/2019, 08:00",+2348064483769, Sample data for whatsApp Analysis
11,"28/03/2019, 08:00",+2348067597875, Sample data for whatsApp Analysis. Everything involves cost
12,"28/03/2019, 08:00",+2348063987579, Sample data for whatsApp Analysis
13,"28/03/2019, 08:00",+447853984754,Sample data for whatsApp Analysis. The best script ever
14,"28/03/2019, 08:01",,"Kadiri Slb: I won’t agree with that statement, that this is the best script"
15,"28/03/2019, 08:01",+2348064483759," Mr 2348066354117 agrees that this,  is sample data for whatsApp Analysis"
16,"31/03/2019, 08:01",+2348064484759," I don correct am na, as this is the Sample data for whatsApp Analysis"
17,"31/03/2019, 08:01",,manchi Stb: If you know what IT people earn you will like this sample data
18,"31/03/2019, 08:02",+61449958282,IT professionals are one of the top earners. Sample data for whatsApp Analysis
19,"31/03/2019, 08:02",,manchi Stb: People who do jobs like that do not like IT. Sample data for whatsApp Analysis
20,"31/03/2019, 08:02",+2348064488957," Yes, you are right 💯"
21,"31/03/2019, 08:03",,"manchi Stb: I love IT, Sample data for whatsApp Analysis"
22,"31/03/2019, 08:03",+2348064237599," 😀🤣🤣😀, Sample data for whatsApp Analysis"
23,"31/03/2019, 08:04",,manchi Stb: People are even changing careers to IT as we speak
24,"01/04/2019, 08:05",+447853784001,Me and John Doe are in IoT. Sample data for whatsApp Analysis
25,"15/04/2019, 08:05",,manchi Stb: IT is one of the top notch jobs here on earth. Sample data for whatsApp Analysis
26,"15/04/2019, 08:05",,manchi Stb: I won’t agree with that statement too. Sample data for whatsApp Analysis
27,"15/04/2019, 08:07",+2348066154398,7: I have a computer science BSc certificate. Sample data for whatsApp Analysis
28,"15/04/2019, 08:07",,"manchi Stb: Sample data for whatsApp Analysis. Sample data for whatsApp Analysis. Sample data for whatsApp Analysis. testing long statement, Sample data for whatsApp Analysis."
29,"15/04/2019, 08:07",+2348059229847, Lol
30,"08/05/2019, 08:07",+2348066150937, Were do I fall in cos i checked what I saw that i liked IT. Sample data for whatsApp Analysis
31,"08/05/2019, 08:08",+2348064485009, My question is; are they gonna pay IT workers in heavey buck on earth. Sample data for whatsApp Analysis
32,"08/05/2019, 08:09",+61387070111,"Yes, if you manage to get the job. You will like IT. Last dummy messae in Sample data for whatsApp Analysis"
